Series Name,Author(s),Book Count,Total Words
The Wheel of Time,Robert Jordan,15,4369295
Cosmere (The Stormlight Archive),Brandon Sanderson,7,4063770
Outlander,Diana Gabaldon,9,3547135
A Song of Ice and Fire,George RR Martin,5,1736054
The Plated Prisoner,Raven Kennedy,6,1629312
Suneater Series,Christopher Ruocchio,6,1457375
Cosmere (Mistborn),Brandon Sanderson,8,1447285
The Dark Tower,Stephen King,8,1339655
Maasverse (Throne of Glass),Sarah J Maas,8,1324387
Maasverse (Crescent City),Sarah J Maas,3,1232724
The Lord of the Rings,JRR Tolkien,4,1152918
"Osten Ard (Memory, Sorrow, and Thorn)",Tad Williams,3,1135120
Red Rising Saga,Pierce Brown,6,1126317
Harry Potter,JK Rowling,7,1084170
Bloodsworn Saga,John Gwynne,3,879328
Maasverse (A Court of Thorns and Roses),Sarah J Maas,5,784159
Hyperion Cantos,Dan Simmons,4,780382
The Kingkiller Chronicle,Patrick Rothfuss,4,719920
Dune,Frank Herbert,3,667378
The Skyward Series,Brandon Sanderson,7,667059
The Roots of Chaos,Samantha Shannon,2,602203
Green Creek,TJ Klune,4,584909
The Empyrean Series,Rebecca Yarros,3,578040
The Talisman,Stephen King,2,473715
The Locked Tomb,Tamsyn Muir,3,460486
The Hunger Games,Suzanne Collins,4,459455
Empire of the Vampire,Jay Kristoff,2,431296
Shades of Magic,VE Schwab,3,422088
Osten Ard (The Last King of Osten Ard),Tad Williams,2,421660
Cosmere (Secret Projects),Brandon Sanderson,3,421219
Cosmere (Warbreaker),Brandon Sanderson,1,392028
Gentleman Bastard Series,Scott Lynch,2,390000
The Poppy War,RF Kuang,2,359697
Bill Hodges Trilogy,Stephen King,3,350900
The Green Bone Saga,Fonda Lee,2,347000
Blacktongue Series,Christopher Buehlman,2,345405
The Celestial Kingdom Duology,Sue Lynn Tan,3,342523
Knockemout,Lucy Score,2,315280
The Witcher,Andrzej Sapkowski,3,303760
The Shining,Stephen King,2,299280
Dragonlance: Chronicles,Margaret Weis,3,297500
The Burning,Evan Winters,2,268000
Hitchhiker's Guide to the Galaxy,Douglas Adams,5,249040
The Hierarchy,James Islington,1,240000
The Gwendy's Button Box Trilogy,"Stephen King,Richard Chizmar",3,225057
Foundation,Isaac Asimov,3,219879
Letters of Enchantment,Rebecca Ross,2,211040
Cosmere (Elantris),Brandon Sanderson,1,205474
It Ends with Us,Colleen Hoover,2,196577
Cosmere (Arcanum Unbounded),Brandon Sanderson,1,187924
A Targaryen History,George RR Martin,1,184000
Legends & Lattes,Travis Baldree,2,180880
Threads of Power,VE Schwab,1,180400
Cosmere (White Sand Graphic Novel),Brandon Sanderson,3,120000
One Dark Window,Rachel Gillig,1,118800
Secret Projects,Brandon Sanderson,1,80000
